# Force       
# CofR        : (4.974613e-01 -1.671896e-02 1.250000e-01)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(1.972338e+03 5.371971e+03 1.059305e-15)	(1.970598e+03 5.371962e+03 1.059367e-15)	(1.740045e+00 8.640286e-03 -6.206409e-20)
2             	(6.487577e+02 2.309518e+03 3.752994e-16)	(6.474943e+02 2.310177e+03 3.755728e-16)	(1.263441e+00 -6.583028e-01 -2.733643e-19)
3             	(-6.370326e+02 -8.816664e+02 -3.139566e-16)	(-6.381273e+02 -8.808930e+02 -3.135648e-16)	(1.094639e+00 -7.734538e-01 -3.917238e-19)
4             	(-1.084843e+03 -2.254215e+03 -5.669794e-16)	(-1.086172e+03 -2.253992e+03 -5.669928e-16)	(1.328348e+00 -2.234790e-01 1.340405e-20)
5             	(-5.201630e+02 -1.266408e+03 -2.940459e-16)	(-5.221649e+02 -1.266632e+03 -2.960837e-16)	(2.001883e+00 2.245292e-01 2.037858e-18)
6             	(2.576588e+02 3.617567e+02 1.138239e-16)	(2.554818e+02 3.614813e+02 1.143775e-16)	(2.176991e+00 2.753866e-01 -5.535241e-19)
7             	(6.442286e+02 1.226469e+03 3.486638e-16)	(6.424193e+02 1.226452e+03 3.484385e-16)	(1.809323e+00 1.745113e-02 2.252894e-19)
8             	(4.083960e+02 8.720526e+02 2.460030e-16)	(4.068166e+02 8.722296e+02 2.463941e-16)	(1.579372e+00 -1.770290e-01 -3.911307e-19)
9             	(-2.868149e+01 1.778884e+02 2.041147e-17)	(-3.022085e+01 1.779713e+02 1.807987e-17)	(1.539359e+00 -8.299934e-02 2.331604e-18)
10            	(-2.656041e+02 -2.049616e+02 -1.358138e-16)	(-2.669018e+02 -2.049385e+02 -1.356227e-16)	(1.297690e+00 -2.302904e-02 -1.911664e-19)
11            	(-2.027836e+02 -8.244260e+01 -1.251139e-16)	(-2.041438e+02 -8.259796e+01 -1.250605e-16)	(1.360241e+00 1.553561e-01 -5.339273e-20)
12            	(-1.533052e+01 1.582012e+02 -3.284824e-17)	(-1.718037e+01 1.579739e+02 -3.153260e-17)	(1.849848e+00 2.272912e-01 -1.315640e-18)
13            	(1.030395e+02 2.454196e+02 2.909584e-17)	(1.010600e+02 2.453344e+02 2.912549e-17)	(1.979510e+00 8.519746e-02 -2.965575e-20)
14            	(9.012887e+01 1.617367e+02 3.312243e-17)	(8.820724e+01 1.617521e+02 3.287832e-17)	(1.921632e+00 -1.547601e-02 2.441124e-19)
15            	(2.827608e+01 7.883353e+01 2.027524e-17)	(2.644726e+01 7.899182e+01 2.002888e-17)	(1.828822e+00 -1.582873e-01 2.463603e-19)
16            	(-8.864586e+00 1.047646e+02 8.114184e-18)	(-1.048027e+01 1.049038e+02 7.819431e-18)	(1.615681e+00 -1.391767e-01 2.947529e-19)
17            	(2.491349e+00 2.126140e+02 8.363434e-18)	(9.924789e-01 2.126753e+02 8.199933e-18)	(1.498870e+00 -6.129959e-02 1.635008e-19)
18            	(2.717389e+01 2.986410e+02 1.021461e-17)	(2.570975e+01 2.986568e+02 1.009564e-17)	(1.464144e+00 -1.585862e-02 1.189687e-19)
19            	(2.815121e+01 2.840455e+02 5.505429e-18)	(2.665620e+01 2.840667e+02 5.566302e-18)	(1.495007e+00 -2.123132e-02 -6.087326e-20)
20            	(5.646170e+00 1.829824e+02 -7.241810e-19)	(4.135166e+00 1.830271e+02 -6.522606e-19)	(1.511004e+00 -4.471589e-02 -7.192042e-20)
21            	(-1.154419e+01 9.439615e+01 3.824600e-19)	(-1.306442e+01 9.445741e+01 3.663524e-19)	(1.520233e+00 -6.125607e-02 1.610759e-20)
22            	(-7.514241e+00 6.816663e+01 8.198053e-18)	(-9.035992e+00 6.822776e+01 8.139762e-18)	(1.521751e+00 -6.113386e-02 5.829045e-20)
23            	(1.526689e+01 1.189482e+02 1.851747e-17)	(1.375705e+01 1.189994e+02 1.846774e-17)	(1.509841e+00 -5.117404e-02 4.972763e-20)
24            	(3.475123e+01 2.067583e+02 2.273795e-17)	(3.325231e+01 2.068050e+02 2.272543e-17)	(1.498916e+00 -4.670219e-02 1.251765e-20)
25            	(3.530393e+01 2.622765e+02 1.716185e-17)	(3.381601e+01 2.623263e+02 1.715287e-17)	(1.487920e+00 -4.978593e-02 8.980029e-21)
26            	(2.045783e+01 2.647306e+02 6.748116e-18)	(1.897813e+01 2.647831e+02 6.721986e-18)	(1.479703e+00 -5.254783e-02 2.613012e-20)
27            	(2.695820e+00 2.186464e+02 -1.728477e-18)	(1.226055e+00 2.186967e+02 -1.776440e-18)	(1.469766e+00 -5.024147e-02 4.796236e-20)
28            	(-4.246782e+00 1.636458e+02 -2.682837e-18)	(-5.705425e+00 1.636905e+02 -2.734657e-18)	(1.458644e+00 -4.464307e-02 5.182010e-20)
29            	(5.700974e-01 1.337960e+02 2.750273e-18)	(-8.794357e-01 1.338357e+02 2.709009e-18)	(1.449533e+00 -3.978716e-02 4.126448e-20)
30            	(1.074931e+01 1.352870e+02 1.020706e-17)	(9.305768e+00 1.353252e+02 1.017838e-17)	(1.443541e+00 -3.818209e-02 2.868032e-20)
31            	(1.981311e+01 1.707181e+02 1.579561e-17)	(1.837272e+01 1.707572e+02 1.577048e-17)	(1.440395e+00 -3.905843e-02 2.513384e-20)
32            	(2.108635e+01 2.090694e+02 1.612107e-17)	(1.964766e+01 2.091093e+02 1.608862e-17)	(1.438691e+00 -3.997293e-02 3.244948e-20)
33            	(1.726987e+01 2.284095e+02 1.297936e-17)	(1.583327e+01 2.284488e+02 1.293647e-17)	(1.436601e+00 -3.934029e-02 4.289176e-20)
34            	(1.237464e+01 2.292860e+02 8.872875e-18)	(1.094091e+01 2.293232e+02 8.821783e-18)	(1.433735e+00 -3.713926e-02 5.109262e-20)
35            	(7.900651e+00 2.072968e+02 5.237135e-18)	(6.470045e+00 2.073311e+02 5.183646e-18)	(1.430606e+00 -3.427475e-02 5.348827e-20)
36            	(6.684446e+00 1.791341e+02 4.066530e-18)	(5.256617e+00 1.791656e+02 4.017015e-18)	(1.427829e+00 -3.152910e-02 4.951546e-20)
37            	(8.110691e+00 1.654946e+02 4.991360e-18)	(6.685140e+00 1.655238e+02 4.945762e-18)	(1.425551e+00 -2.923352e-02 4.559803e-20)
38            	(1.014965e+01 1.668907e+02 6.743452e-18)	(8.726126e+00 1.669181e+02 6.700529e-18)	(1.423527e+00 -2.737198e-02 4.292227e-20)
39            	(1.226563e+01 1.835818e+02 8.541715e-18)	(1.084387e+01 1.836076e+02 8.499490e-18)	(1.421760e+00 -2.580436e-02 4.222438e-20)
40            	(1.325319e+01 2.049959e+02 9.271418e-18)	(1.183297e+01 2.050202e+02 9.226728e-18)	(1.420212e+00 -2.428362e-02 4.468982e-20)
41            	(1.274534e+01 2.165341e+02 8.689489e-18)	(1.132651e+01 2.165567e+02 8.640271e-18)	(1.418823e+00 -2.260208e-02 4.921791e-20)
42            	(1.136190e+01 2.148473e+02 7.338961e-18)	(9.944256e+00 2.148680e+02 7.283894e-18)	(1.417645e+00 -2.070574e-02 5.506659e-20)
43            	(9.766221e+00 2.019728e+02 5.989901e-18)	(8.349543e+00 2.019915e+02 5.930002e-18)	(1.416678e+00 -1.876070e-02 5.989837e-20)
44            	(8.907910e+00 1.883738e+02 5.433000e-18)	(7.491871e+00 1.883908e+02 5.372123e-18)	(1.416039e+00 -1.701687e-02 6.087684e-20)
45            	(8.899518e+00 1.814055e+02 5.705488e-18)	(7.483756e+00 1.814211e+02 5.646322e-18)	(1.415763e+00 -1.559093e-02 5.916567e-20)
46            	(9.394914e+00 1.825690e+02 6.468987e-18)	(7.979253e+00 1.825834e+02 6.414458e-18)	(1.415662e+00 -1.439598e-02 5.452933e-20)
47            	(1.006351e+01 1.916577e+02 7.219537e-18)	(8.648084e+00 1.916709e+02 7.170437e-18)	(1.415428e+00 -1.321783e-02 4.910029e-20)
48            	(1.034424e+01 2.011758e+02 7.454758e-18)	(8.929343e+00 2.011877e+02 7.407852e-18)	(1.414901e+00 -1.186896e-02 4.690549e-20)
49            	(1.016456e+01 2.060002e+02 7.159193e-18)	(8.750253e+00 2.060105e+02 7.111457e-18)	(1.414303e+00 -1.034227e-02 4.773613e-20)
50            	(9.809043e+00 2.059892e+02 6.596841e-18)	(8.395085e+00 2.059979e+02 6.546164e-18)	(1.413957e+00 -8.769577e-03 5.067639e-20)
51            	(9.386810e+00 2.006856e+02 6.025690e-18)	(7.972729e+00 2.006929e+02 5.970190e-18)	(1.414081e+00 -7.313768e-03 5.550014e-20)
52            	(9.098553e+00 1.941202e+02 5.703976e-18)	(7.683957e+00 1.941263e+02 5.644376e-18)	(1.414596e+00 -6.099112e-03 5.959991e-20)
53            	(9.045808e+00 1.907733e+02 5.698967e-18)	(7.630557e+00 1.907784e+02 5.637581e-18)	(1.415251e+00 -5.131081e-03 6.138686e-20)
54            	(9.096570e+00 1.913083e+02 5.870587e-18)	(7.680749e+00 1.913127e+02 5.809035e-18)	(1.415821e+00 -4.319566e-03 6.155177e-20)
55            	(9.193155e+00 1.953525e+02 6.087026e-18)	(7.776940e+00 1.953560e+02 6.026546e-18)	(1.416215e+00 -3.542568e-03 6.048024e-20)
56            	(9.315754e+00 2.007900e+02 6.264797e-18)	(7.899255e+00 2.007927e+02 6.206212e-18)	(1.416499e+00 -2.702543e-03 5.858487e-20)
57            	(9.382077e+00 2.044277e+02 6.343125e-18)	(7.965220e+00 2.044294e+02 6.286427e-18)	(1.416858e+00 -1.771226e-03 5.669783e-20)
58            	(9.359597e+00 2.046421e+02 6.321531e-18)	(7.942098e+00 2.046429e+02 6.266173e-18)	(1.417500e+00 -7.903126e-04 5.535787e-20)
59            	(9.244057e+00 2.017050e+02 6.238420e-18)	(7.825548e+00 2.017048e+02 6.183820e-18)	(1.418508e+00 1.617317e-04 5.460018e-20)
