# Moment      
# CofR        : (4.974613e-01 -1.671896e-02 1.250000e-01)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(2.474727e-14 -8.084907e-15 1.176609e+03)	(2.474725e-14 -8.073946e-15 1.176607e+03)	(1.636170e-20 -1.096134e-17 2.194768e-03)
2             	(1.251488e-14 -2.903122e-15 3.328870e+02)	(1.251648e-14 -2.894728e-15 3.331284e+02)	(-1.591529e-18 -8.393457e-18 -2.414244e-01)
3             	(-1.461381e-15 2.271440e-15 -4.699453e+02)	(-1.460247e-15 2.279869e-15 -4.696511e+02)	(-1.134462e-18 -8.428866e-18 -2.942277e-01)
4             	(-8.725389e-15 4.316830e-15 -6.700182e+02)	(-8.725369e-15 4.326433e-15 -6.699335e+02)	(-2.087479e-20 -9.603355e-18 -8.461368e-02)
5             	(-6.109180e-15 2.203729e-15 -2.550252e+02)	(-6.108474e-15 2.217028e-15 -2.553271e+02)	(-7.053720e-19 -1.329833e-17 3.018465e-01)
6             	(-2.994205e-17 -8.067614e-16 2.537551e+02)	(-2.879599e-17 -7.916306e-16 2.533841e+02)	(-1.146054e-18 -1.513081e-17 3.709401e-01)
7             	(4.076561e-15 -2.362558e-15 4.118560e+02)	(4.078232e-15 -2.350050e-15 4.116945e+02)	(-1.670271e-18 -1.250885e-17 1.615066e-01)
8             	(3.788292e-15 -1.580735e-15 1.751107e+02)	(3.788933e-15 -1.569344e-15 1.752952e+02)	(-6.405295e-19 -1.139149e-17 -1.844383e-01)
9             	(1.954511e-15 7.215947e-18 -1.351263e+02)	(1.953388e-15 1.722763e-17 -1.347218e+02)	(1.123621e-18 -1.001168e-17 -4.045177e-01)
10            	(6.925351e-16 9.048812e-16 -2.446784e+02)	(6.921198e-16 9.156208e-16 -2.443741e+02)	(4.152954e-19 -1.073958e-17 -3.043222e-01)
11            	(7.953886e-16 7.037409e-16 -1.255563e+02)	(7.942266e-16 7.141122e-16 -1.253846e+02)	(1.161956e-18 -1.037133e-17 -1.717081e-01)
12            	(1.089559e-15 7.482328e-17 3.997247e+01)	(1.088804e-15 8.755733e-17 4.007898e+01)	(7.541956e-19 -1.273405e-17 -1.065136e-01)
13            	(9.660420e-16 -2.871473e-16 1.025355e+02)	(9.657752e-16 -2.744479e-16 1.025936e+02)	(2.667934e-19 -1.269941e-17 -5.805083e-02)
14            	(5.208887e-16 -2.338894e-16 5.049418e+01)	(5.209819e-16 -2.216181e-16 5.058013e+01)	(-9.317695e-20 -1.227122e-17 -8.594889e-02)
15            	(3.284437e-16 -8.802469e-17 -2.813314e+01)	(3.290609e-16 -7.619541e-17 -2.806534e+01)	(-6.172006e-19 -1.182928e-17 -6.779887e-02)
16            	(6.647385e-16 -4.613618e-17 -5.767533e+01)	(6.652656e-16 -3.528010e-17 -5.759982e+01)	(-5.271343e-19 -1.085608e-17 -7.550647e-02)
17            	(1.293778e-15 -1.325770e-16 -3.312511e+01)	(1.293794e-15 -1.225040e-16 -3.304355e+01)	(-1.516484e-20 -1.007298e-17 -8.155457e-02)
18            	(1.772252e-15 -2.013101e-16 -2.183299e+00)	(1.772031e-15 -1.916591e-16 -2.106058e+00)	(2.219814e-19 -9.651032e-18 -7.724017e-02)
19            	(1.763849e-15 -1.453326e-16 9.549096e-01)	(1.763725e-15 -1.354919e-16 1.024381e+00)	(1.242476e-19 -9.840682e-18 -6.947179e-02)
20            	(1.313815e-15 -6.042544e-18 -1.881217e+01)	(1.313836e-15 4.385704e-18 -1.874554e+01)	(-2.131790e-20 -1.042825e-17 -6.663050e-02)
21            	(8.496824e-16 8.506147e-17 -3.385126e+01)	(8.497893e-16 9.559699e-17 -3.378498e+01)	(-1.068712e-19 -1.053552e-17 -6.628075e-02)
22            	(6.173800e-16 5.961169e-17 -2.822901e+01)	(6.175494e-16 7.009761e-17 -2.816243e+01)	(-1.693920e-19 -1.048593e-17 -6.658070e-02)
23            	(7.145534e-16 -5.940337e-17 -8.688796e+00)	(7.147184e-16 -4.917620e-17 -8.621755e+00)	(-1.649868e-19 -1.022718e-17 -6.704118e-02)
24            	(1.054514e-15 -1.659106e-16 2.527848e+00)	(1.054683e-15 -1.558750e-16 2.593525e+00)	(-1.690234e-19 -1.003554e-17 -6.567728e-02)
25            	(1.371718e-15 -1.805955e-16 -4.151190e+00)	(1.371890e-15 -1.707087e-16 -4.087278e+00)	(-1.724748e-19 -9.886875e-18 -6.391218e-02)
26            	(1.523305e-15 -1.112930e-16 -2.125124e+01)	(1.523456e-15 -1.015131e-16 -2.118760e+01)	(-1.513739e-19 -9.779921e-18 -6.364115e-02)
27            	(1.432936e-15 -1.622779e-17 -3.382760e+01)	(1.433035e-15 -6.510178e-18 -3.376281e+01)	(-9.882908e-20 -9.717615e-18 -6.479036e-02)
28            	(1.209806e-15 3.296329e-17 -3.239090e+01)	(1.209845e-15 4.261061e-17 -3.232496e+01)	(-3.892152e-20 -9.647314e-18 -6.593467e-02)
29            	(9.980195e-16 1.967628e-17 -2.188579e+01)	(9.980275e-16 2.921733e-17 -2.181944e+01)	(-8.015802e-21 -9.541052e-18 -6.634094e-02)
30            	(8.722952e-16 -3.289574e-17 -1.139772e+01)	(8.723179e-16 -2.350676e-17 -1.133166e+01)	(-2.266737e-20 -9.388971e-18 -6.606134e-02)
31            	(9.479897e-16 -9.335405e-17 -8.353913e+00)	(9.480571e-16 -8.413944e-17 -8.288322e+00)	(-6.740414e-20 -9.214615e-18 -6.559078e-02)
32            	(1.120545e-15 -1.197732e-16 -1.386028e+01)	(1.120655e-15 -1.107124e-16 -1.379496e+01)	(-1.094588e-19 -9.060722e-18 -6.531766e-02)
33            	(1.273945e-15 -1.103426e-16 -2.096956e+01)	(1.274068e-15 -1.013865e-16 -2.090425e+01)	(-1.234265e-19 -8.956144e-18 -6.531079e-02)
34            	(1.388482e-15 -8.021897e-17 -2.571221e+01)	(1.388587e-15 -7.130382e-17 -2.564669e+01)	(-1.047589e-19 -8.915155e-18 -6.552341e-02)
35            	(1.361992e-15 -3.983278e-17 -2.655245e+01)	(1.362057e-15 -3.089860e-17 -2.648652e+01)	(-6.484260e-20 -8.934176e-18 -6.592229e-02)
36            	(1.226105e-15 -1.208288e-17 -2.365486e+01)	(1.226126e-15 -3.099381e-18 -2.358833e+01)	(-2.095769e-20 -8.983498e-18 -6.652770e-02)
37            	(1.112206e-15 -7.036619e-18 -2.055328e+01)	(1.112194e-15 1.986706e-18 -2.048607e+01)	(1.192371e-20 -9.023324e-18 -6.720341e-02)
38            	(1.036617e-15 -1.799780e-17 -1.890849e+01)	(1.036590e-15 -8.974868e-18 -1.884076e+01)	(2.645975e-20 -9.022933e-18 -6.772831e-02)
39            	(1.047207e-15 -3.957102e-17 -1.890474e+01)	(1.047183e-15 -3.059401e-17 -1.883677e+01)	(2.440712e-20 -8.977009e-18 -6.796949e-02)
40            	(1.131483e-15 -5.933992e-17 -2.053778e+01)	(1.131469e-15 -5.043239e-17 -2.046976e+01)	(1.444685e-20 -8.907526e-18 -6.801255e-02)
41            	(1.214318e-15 -6.747028e-17 -2.263617e+01)	(1.214311e-15 -5.862365e-17 -2.256809e+01)	(7.054853e-21 -8.846627e-18 -6.808749e-02)
42            	(1.265488e-15 -6.328127e-17 -2.437354e+01)	(1.265478e-15 -5.446434e-17 -2.430517e+01)	(9.248240e-21 -8.816932e-18 -6.837006e-02)
43            	(1.258796e-15 -5.045400e-17 -2.516332e+01)	(1.258775e-15 -4.162975e-17 -2.509449e+01)	(2.152216e-20 -8.824250e-18 -6.883346e-02)
44            	(1.219958e-15 -3.740336e-17 -2.481283e+01)	(1.219919e-15 -2.854784e-17 -2.474352e+01)	(3.902021e-20 -8.855516e-18 -6.930797e-02)
45            	(1.183603e-15 -2.995021e-17 -2.384534e+01)	(1.183548e-15 -2.106009e-17 -2.377569e+01)	(5.534718e-20 -8.890121e-18 -6.964496e-02)
46            	(1.155045e-15 -2.870305e-17 -2.282680e+01)	(1.154979e-15 -1.979297e-17 -2.275698e+01)	(6.623668e-20 -8.910085e-18 -6.981947e-02)
47            	(1.154314e-15 -3.242174e-17 -2.252394e+01)	(1.154243e-15 -2.351342e-17 -2.245402e+01)	(7.058785e-20 -8.908315e-18 -6.991461e-02)
48            	(1.166158e-15 -3.697562e-17 -2.314886e+01)	(1.166088e-15 -2.808275e-17 -2.307881e+01)	(7.025633e-20 -8.892863e-18 -7.004881e-02)
49            	(1.172932e-15 -3.930886e-17 -2.421416e+01)	(1.172864e-15 -3.043074e-17 -2.414388e+01)	(6.842100e-20 -8.878115e-18 -7.027903e-02)
50            	(1.179351e-15 -3.918206e-17 -2.527348e+01)	(1.179283e-15 -3.030608e-17 -2.520290e+01)	(6.794868e-20 -8.875979e-18 -7.058296e-02)
51            	(1.178114e-15 -3.712335e-17 -2.580992e+01)	(1.178044e-15 -2.823310e-17 -2.573902e+01)	(7.039640e-20 -8.890246e-18 -7.089706e-02)
52            	(1.176031e-15 -3.475095e-17 -2.561044e+01)	(1.175956e-15 -2.583562e-17 -2.553929e+01)	(7.555421e-20 -8.915325e-18 -7.114895e-02)
53            	(1.183545e-15 -3.348010e-17 -2.504554e+01)	(1.183463e-15 -2.453916e-17 -2.497423e+01)	(8.184093e-20 -8.940938e-18 -7.130846e-02)
54            	(1.196827e-15 -3.346419e-17 -2.455775e+01)	(1.196740e-15 -2.450488e-17 -2.448635e+01)	(8.717671e-20 -8.959311e-18 -7.139465e-02)
55            	(1.212588e-15 -3.438362e-17 -2.439284e+01)	(1.212498e-15 -2.541415e-17 -2.432139e+01)	(9.006655e-20 -8.969464e-18 -7.145593e-02)
56            	(1.222377e-15 -3.542179e-17 -2.465130e+01)	(1.222286e-15 -2.644512e-17 -2.457975e+01)	(9.044012e-20 -8.976664e-18 -7.154209e-02)
57            	(1.217368e-15 -3.565478e-17 -2.516436e+01)	(1.217278e-15 -2.666627e-17 -2.509267e+01)	(8.947551e-20 -8.988509e-18 -7.168267e-02)
58            	(1.199283e-15 -3.480068e-17 -2.566698e+01)	(1.199194e-15 -2.579089e-17 -2.559510e+01)	(8.889016e-20 -9.009786e-18 -7.187657e-02)
59            	(1.175799e-15 -3.309535e-17 -2.594065e+01)	(1.175709e-15 -2.405505e-17 -2.586856e+01)	(9.002476e-20 -9.040295e-18 -7.209275e-02)
60            	(1.162449e-15 -3.141587e-17 -2.591424e+01)	(1.162355e-15 -2.234100e-17 -2.584196e+01)	(9.315610e-20 -9.074869e-18 -7.228852e-02)
61            	(1.166990e-15 -3.048196e-17 -2.570985e+01)	(1.166893e-15 -2.137470e-17 -2.563742e+01)	(9.741897e-20 -9.107263e-18 -7.243374e-02)
62            	(1.187115e-15 -3.060114e-17 -2.547231e+01)	(1.187014e-15 -2.146806e-17 -2.539978e+01)	(1.013603e-19 -9.133077e-18 -7.252551e-02)
63            	(1.217982e-15 -3.187379e-17 -2.534939e+01)	(1.217878e-15 -2.272219e-17 -2.527680e+01)	(1.037556e-19 -9.151604e-18 -7.258545e-02)
64            	(1.238741e-15 -3.330114e-17 -2.545489e+01)	(1.238637e-15 -2.413552e-17 -2.538224e+01)	(1.042096e-19 -9.165619e-18 -7.264911e-02)
65            	(1.239668e-15 -3.404981e-17 -2.570727e+01)	(1.239565e-15 -2.487070e-17 -2.563452e+01)	(1.032640e-19 -9.179109e-18 -7.274449e-02)
66            	(1.226382e-15 -3.397469e-17 -2.601537e+01)	(1.226279e-15 -2.478031e-17 -2.594249e+01)	(1.020954e-19 -9.194377e-18 -7.287788e-02)
67            	(1.201304e-15 -3.277452e-17 -2.630140e+01)	(1.201202e-15 -2.356314e-17 -2.622836e+01)	(1.018225e-19 -9.211378e-18 -7.303914e-02)
68            	(1.177987e-15 -3.090885e-17 -2.640576e+01)	(1.177884e-15 -2.168041e-17 -2.633256e+01)	(1.029200e-19 -9.228440e-18 -7.320489e-02)
69            	(1.174454e-15 -2.969741e-17 -2.633864e+01)	(1.174348e-15 -2.045427e-17 -2.626529e+01)	(1.051309e-19 -9.243145e-18 -7.335161e-02)
70            	(1.183877e-15 -2.913290e-17 -2.624328e+01)	(1.183769e-15 -1.987844e-17 -2.616981e+01)	(1.076305e-19 -9.254464e-18 -7.347171e-02)
71            	(1.198579e-15 -2.898779e-17 -2.621118e+01)	(1.198470e-15 -1.972459e-17 -2.613760e+01)	(1.095065e-19 -9.263203e-18 -7.357330e-02)
72            	(1.213195e-15 -2.921558e-17 -2.632256e+01)	(1.213085e-15 -1.994447e-17 -2.624889e+01)	(1.102241e-19 -9.271111e-18 -7.367345e-02)
73            	(1.216986e-15 -2.938033e-17 -2.656305e+01)	(1.216876e-15 -2.010035e-17 -2.648926e+01)	(1.097518e-19 -9.279984e-18 -7.379009e-02)
74            	(1.209292e-15 -2.917912e-17 -2.682523e+01)	(1.209184e-15 -1.988830e-17 -2.675130e+01)	(1.084838e-19 -9.290812e-18 -7.393021e-02)
75            	(1.196177e-15 -2.859909e-17 -2.705874e+01)	(1.196070e-15 -1.929569e-17 -2.698465e+01)	(1.070765e-19 -9.303400e-18 -7.409096e-02)
76            	(1.181819e-15 -2.759669e-17 -2.725514e+01)	(1.181713e-15 -1.828006e-17 -2.718087e+01)	(1.061301e-19 -9.316630e-18 -7.426991e-02)
77            	(1.172268e-15 -2.640600e-17 -2.738169e+01)	(1.172162e-15 -1.707722e-17 -2.730724e+01)	(1.058393e-19 -9.328779e-18 -7.445474e-02)
78            	(1.171608e-15 -2.551611e-17 -2.744146e+01)	(1.171502e-15 -1.617690e-17 -2.736683e+01)	(1.060597e-19 -9.339215e-18 -7.462912e-02)
79            	(1.175614e-15 -2.495958e-17 -2.749951e+01)	(1.175508e-15 -1.561100e-17 -2.742472e+01)	(1.065979e-19 -9.348577e-18 -7.479233e-02)
80            	(1.178947e-15 -2.456270e-17 -2.761043e+01)	(1.178841e-15 -1.520492e-17 -2.753548e+01)	(1.069662e-19 -9.357783e-18 -7.495441e-02)
81            	(1.178103e-15 -2.415442e-17 -2.779505e+01)	(1.177997e-15 -1.478661e-17 -2.771992e+01)	(1.068382e-19 -9.367814e-18 -7.512469e-02)
82            	(1.172227e-15 -2.364355e-17 -2.802930e+01)	(1.172121e-15 -1.426422e-17 -2.795399e+01)	(1.061593e-19 -9.379330e-18 -7.530675e-02)
83            	(1.163319e-15 -2.305242e-17 -2.826309e+01)	(1.163214e-15 -1.366009e-17 -2.818760e+01)	(1.050532e-19 -9.392333e-18 -7.549870e-02)
84            	(1.154626e-15 -2.243896e-17 -2.844909e+01)	(1.154522e-15 -1.303264e-17 -2.837339e+01)	(1.037327e-19 -9.406323e-18 -7.569537e-02)
